Date,TACOS,ACOS
2023-01-01,7.9%,13.7%
2023-01-02,7.6%,13.6%
2023-01-03,7.3%,14.0%
2023-01-04,7.6%,13.9%
2023-01-05,7.1%,14.5%
2023-01-06,8.6%,14.3%
2023-01-07,9.0%,14.6%
2023-01-08,8.2%,16.0%
2023-01-09,7.2%,14.8%
2023-01-10,6.9%,14.2%
2023-01-11,6.9%,13.1%
2023-01-12,7.1%,14.3%
2023-01-13,8.5%,15.0%
2023-01-14,8.2%,14.4%
2023-01-15,8.6%,14.8%
2023-01-16,6.6%,13.3%
2023-01-17,7.1%,15.3%
2023-01-18,6.6%,12.8%
2023-01-19,7.5%,13.5%
2023-01-20,8.1%,15.8%
2023-01-21,9.4%,14.0%
2023-01-22,7.9%,14.5%
2023-01-23,7.1%,15.7%
2023-01-24,6.8%,13.1%
2023-01-25,6.5%,13.9%
2023-01-26,6.5%,12.8%
2023-01-27,7.0%,16.1%
2023-01-28,7.9%,12.8%
2023-01-29,7.7%,13.9%
2023-01-30,6.4%,13.8%
2023-01-31,6.7%,13.4%
2023-02-01,7.3%,14.0%
2023-02-02,7.4%,15.0%
2023-02-03,7.6%,16.0%
2023-02-04,9.1%,15.3%
2023-02-05,7.4%,14.5%
2023-02-06,7.4%,13.6%
2023-02-07,7.9%,13.6%
2023-02-08,6.5%,15.4%
2023-02-09,7.7%,17.5%
2023-02-10,8.4%,18.2%
2023-02-11,9.1%,14.0%
2023-02-12,7.8%,13.6%
2023-02-13,6.8%,15.3%
2023-02-14,7.6%,16.0%
2023-02-15,7.1%,14.0%
2023-02-16,7.6%,16.0%
2023-02-17,8.4%,15.2%
2023-02-18,8.9%,15.4%
2023-02-19,8.6%,15.9%
2023-02-20,6.9%,12.7%
2023-02-21,7.3%,14.6%
2023-02-22,8.3%,15.0%
2023-02-23,7.6%,15.6%
2023-02-24,5.2%,14.8%
2023-02-25,5.6%,14.7%
2023-02-26,5.3%,12.5%
2023-02-27,4.5%,11.6%
2023-02-28,3.6%,11.8%
2023-03-01,3.3%,10.3%
2023-03-02,4.0%,12.1%
2023-03-03,3.5%,12.6%
2023-03-04,2.2%,16.9%
2023-03-05,5.0%,12.7%
2023-03-06,4.4%,10.9%
2023-03-07,4.6%,12.0%
2023-03-08,4.7%,13.2%
2023-03-09,4.9%,12.7%
2023-03-10,5.3%,13.3%
2023-03-11,5.6%,13.4%
2023-03-12,5.5%,13.4%
2023-03-13,4.8%,12.4%
2023-03-14,4.9%,14.3%
2023-03-15,5.9%,15.3%
2023-03-16,6.1%,15.7%
2023-03-17,5.7%,14.5%
2023-03-18,7.9%,20.6%
2023-03-19,7.9%,19.4%
2023-03-20,7.5%,18.2%
2023-03-21,6.4%,17.3%
2023-03-22,6.8%,15.6%
2023-03-23,6.2%,16.9%
2023-03-24,7.9%,19.5%
2023-03-25,13.2%,22.9%
2023-03-26,12.0%,21.6%
2023-03-27,10.9%,22.5%
2023-03-28,8.7%,21.2%
2023-03-29,8.4%,21.8%